premise_mod,premise_asp,conclusion_mod,conclusion_asp,confidence
taste great,everything,amazing,food,0.5149
reasonable,price,fair,pricing,1.0
fair,pricing,reasonable,price,1.0
friendly,server,polite,staff,1.0
polite,staff,friendly,server,1.0
beautiful,ambiance,great,experience,0.5294
great,cafe,nice,place,0.5008
quick,service,fast,waiter,1.0
fast,waiter,quick,service,1.0
recommend,place,popular,restaurant,0.5278
fresh,food,high quality,ingredient,0.5588
high quality,ingredient,fresh,food,0.5588
huge,portion,generous,dish,0.5294
generous,dish,huge,portion,0.5294
fantastic,dessert,enjoy,meal,0.5143
attentive,server,kind,service,0.5135
kind,service,attentive,server,0.5135
reasonably,price,reasonable,pricing,1.0
reasonable,pricing,reasonably,price,1.0
welcome,server,nice,staff,1.0
large,portion,big,serving,1.0
big,serving,large,portion,1.0
nice,server,lovely,waitress,1.0
lovely,waitress,nice,server,1.0
amazing,place,comfortable,seating,0.5039
comfortable,seating,amazing,place,0.5039
great,spot,like,location,0.5056
like,location,great,spot,0.5056
thin,crust,good,pizza,0.5135
great,Burger,good,fry,0.5143
more,flavour,good,taste,0.5599
better,service,good,overall experience,0.5116
big,serving,large,group,0.5065
intimate,vibe,love,atmosphere,0.5333
promptly,server,nice,service,0.5294
horrible,service,poor,experience,0.5143
fair,price,reasonable,pricing,1.0
reasonable,pricing,fair,price,1.0
nice,patio,beautiful,decor,0.5039
beautiful,decor,nice,patio,0.5039
great,value,dark,meat,0.52
dark,meat,great,value,0.52
great,taste,nice,flavour,0.5455
nice,flavour,great,taste,0.5455
shuck,oyster,cheap,food,0.5135
great,server,wonderful,dinner,0.5294
nice,restaurant,enjoy,table,0.5143
enjoy,table,nice,restaurant,0.5143
friendly,everyone,helpful,staff,0.52
delicious,dish,phenomenal,food,0.5278
phenomenal,food,delicious,dish,0.5278
small,space,tiny,table,0.5429
pricey,cocktail,nice,food,0.5161
good,server,quickly,bill,0.5126
good,sauce,well,cook,0.5588
great,ambience,fun,ambiance,1.0
fun,ambiance,great,ambience,1.0
traditional,dish,authentic,food,0.5135
enjoy,dish,flavorful,food,0.5294
flavorful,food,enjoy,dish,0.5294
great,lunch,nice,eat,0.5056
nice,eat,great,lunch,0.5056
great,decor,cute,ambiance,0.5294
nice,ambience,cozy,ambiance,1.0
cozy,ambiance,nice,ambience,1.0
fresh,sushi,taste,fish,0.5143
taste,fish,fresh,sushi,0.5143
favorite,menu,recommend,dish,0.5466
attentive,waitress,knowledgeable,waiter,1.0
knowledgeable,waiter,attentive,waitress,1.0
small,plate,overpriced,portion,0.5152
overpriced,portion,small,plate,0.5152
fun,atmosphere,intimate,vibe,0.5758
intimate,vibe,fun,atmosphere,0.5758
patient,waitress,helpful,server,0.5333
great,option,nice,selection of,0.5429
nice,selection of,great,option,0.5429
awesome,server,nice,waiter,0.504
professional,server,attentive,waiter,0.5313
wonderful,service,exceptional,experience,1.0
small,price,empty,plate,1.0
empty,plate,small,price,1.0
enjoyable,meal,good,dinner,0.5257
small,seating,tiny,place,0.535
large,table,big,menu,0.5135
big,menu,large,table,0.5135
love,restaurant,busy,atmosphere,0.5455
tasty,dish,flavorful,food,1.0
flavorful,food,tasty,dish,1.0
high,quality,decent,pricing,1.0
decent,pricing,high,quality,1.0
perfectly,cook,cook,everything,1.0
cook,everything,perfectly,cook,1.0
lively,atmosphere,casual,vibe,0.5333
casual,vibe,lively,atmosphere,0.5333
quickly,server,fine,service,0.5714
love,seafood,great,quality,0.5185
fine,dining,5/5,service,0.5143
great,pizza,delicious,crust,0.5135
nice,meal,enjoy,dinner,1.0
enjoy,dinner,nice,meal,1.0
great,dessert,fantastic,restaurant,0.5143
tiny,portion,small,serving,0.5278
small,serving,tiny,portion,0.5278
very,service,exceptional,experience,0.5135
delicious,dessert,excellent,taste,0.5278
excellent,taste,delicious,dessert,0.5278
recommend,food,fine,everything,1.0
high,expectation,match,price,0.5037
good,stuff,delicious,cook,0.5455
incredible,dish,amazing,everything,0.5135
nice,presentation,gorgeous,decor,0.5278
gorgeous,decor,nice,presentation,0.5278
amazing,restaurant,nice,dinner,0.5143
good,veggie,quality,food,0.5065
nice,vibe,amazing,atmosphere,0.5093
great,accompaniment,pleasant,experience,0.5294
fantastic,meal,better,experience,1.0
quick,meal,fast and efficient,service,0.5152
fast and efficient,service,quick,meal,0.5152
prepare,food,unique,dish,0.5152
delicate,flavour,lot of,option,0.5191
amazing,price,great,pricing,1.0
great,pricing,amazing,price,1.0
nice,dessert,amazing,restaurant,1.0
tasty,everything,nicely,cook,0.5588
nicely,cook,tasty,everything,0.5588
delicious,chicken,high quality,meat,0.5135
high quality,meat,delicious,chicken,0.5135
love,vibe,awesome,atmosphere,1.0
awesome,atmosphere,love,vibe,1.0
love,ambiance,nice,ambience,1.0
nice,ambience,love,ambiance,1.0
delicious,flavour,tender,octopus,0.5484
nice,experience,beautiful,ambiance,0.5294
beautiful,ambiance,nice,experience,0.5294
amazing,server,awesome,waiter,0.5143
enjoy,dessert,perfect,meal,0.507
juicy,patty,tasty,burger,0.5077
nice,appetizer,wonderful,experience,1.0
lot of,flavour,excellent,taste,0.5159
excellent,taste,lot of,flavour,0.5159
beautiful,presentation,nice,view,0.5238
nice,view,beautiful,presentation,0.5238
polite,service,efficient,server,0.5313
efficient,server,polite,service,0.5313
amazing,view,beautiful,building,0.5385
not good,service,quickly,server,0.5143
quickly,server,not good,service,0.5143
good,wing,decent,spot,0.5357
decent,spot,good,wing,0.5357
like,dish,flavorful,sauce,0.5026
flavorful,sauce,like,dish,0.5026
great,dining experience,fantastic,ambiance,0.5152
worth,money,move,line,0.5199
move,line,worth,money,0.5199
great,wine,enjoy,ambiance,0.52
great,appetizer,perfect,wine,0.5078
amazing,meal,spectacular,food,1.0
spectacular,food,amazing,meal,1.0
fast,waiter,quick and friendly,service,0.5135
prepare,dish,simple,food,0.5152
really,service,exceptional,experience,1.0
exceptional,experience,really,service,1.0
highlight,meal,free,dessert,0.5102
great,seat,delicious,place,0.5143
friendly,people,nice and,staff,0.5143
fresh,taste,delicious,fish,0.5143
unfriendly,server,rude,waitress,0.5294
disappointed,service,quickly,server,0.5107
quickly,server,disappointed,service,0.5107
good,taste,tasty,sauce,0.5143
tasty,side,good,rib,0.5135
nice,vibe,fantastic,atmosphere,0.5135
fantastic,atmosphere,nice,vibe,0.5135
amazing,noodle,delicious,soup,0.5625
good,view,beautiful,building,0.5294
beautiful,building,good,view,0.5294
cheap,eat,great,price,1.0
great,price,cheap,eat,1.0
taste good,food,wonderful,everything,0.5045
enjoy,lunch,awesome,restaurant,0.52
incredible,service,exceptional,experience,0.5278
comfortable,seating,nice and,place,0.5185
nice and,place,comfortable,seating,0.5185
sweet,dessert,satisfying,meal,0.5357
good,presentation,great,dining experience,0.5135
great,dining experience,good,presentation,0.5135
spectacular,food,incredible,meal,0.5135
incredible,meal,spectacular,food,0.5135
beautiful,patio,gorgeous,decor,0.5135
recommend,dinner,favorite,place,0.5278
favorite,place,recommend,dinner,0.5278
delicious,pasta,good,italian food,0.5429
good,italian food,delicious,pasta,0.5429
friendly,owner,welcome,staff,1.0
good,customer service,enjoy,bite,0.5143
great,reservation,wonderful,place,0.5366
loud,restaurant,modern,space,0.5333
modern,space,loud,restaurant,0.5333
good,flavor,bland,taste,0.5278
quickly,order,fine,dining establishment,0.535
crowd,place,recommend,table,0.5143
recommend,table,crowd,place,0.5143
decent,spot,great,beers,1.0
delicious,tacos,good,salsa,0.5278
friendly,waiter,efficient,staff,0.5135
braise,lamb,top notch,food,0.5217
juicy,patty,better,burger,0.5294
quick,dinner,fast,waiter,0.5588
fast,waiter,quick,dinner,0.5588
good,cook,tasty,fill,0.5015
incredible,dish,amazing,sauce,0.5107
perfect,dish,flavorful,food,1.0
flavorful,food,perfect,dish,1.0
unique,taste,interesting,flavour,0.5152
interesting,flavour,unique,taste,0.5152
good,seat,enjoy,menu,0.5178
enjoy,menu,good,seat,0.5178
good,waiter,better,server,1.0
lovely,waitress,awesome,server,1.0
love,table,great,eat,0.5106
tasty,sushi,good,roll,0.5143
delicious,taste,tasty,flavour,1.0
tasty,flavour,delicious,taste,1.0
perfectly,food,good,serve,1.0
excellent,dish,outstanding,food,1.0
outstanding,food,excellent,dish,1.0
fantastic,experience,beautiful,presentation,0.5159
good,sashimi,more,fish,1.0
extra,sauce,juicy,pork,0.5135
fantastic,meal,enjoy,dessert,0.5244
satisfied,food,braise,beef,0.5417
decently,price,reasonable,pricing,1.0
reasonable,pricing,decently,price,1.0
great,Burger,tasty,fry,0.5714
promptly,server,warm,service,0.5492
cozy,interior,special,place,0.5015
fun,ambiance,love,ambience,0.5294
helpful,waitress,kind,server,0.5065
amazing,fry,great,onion ring,0.5143
good,food quality,great,sushi place,0.5009
fresh,dish,high quality,ingredient,0.5357
nice,venue,beautiful,interior,1.0
lot of,sauce,taste,dish,0.5333
not fresh,fish,decent,sushi,0.5152
rude,waiter,unfriendly,server,0.5172
unfriendly,server,rude,waiter,0.5172
recommend,order,popular,item,0.5455
popular,item,recommend,order,0.5455
interesting,experience,excellent,cocktail,0.5143
excellent,cocktail,interesting,experience,0.5143
love,salad,delicious,dinner,1.0
crisp,crust,good,pizzas,0.5294
low,quality,bad,price,1.0
decently,price,reasonable,pricing,0.5417
great,pastry,worth,place,0.5185
interesting,place,great,reservation,0.5313
great,reservation,interesting,place,0.5313
phenomenal,service,top notch,quality,0.5135
top notch,quality,phenomenal,service,0.5135
lovely,decor,cute,ambiance,1.0
cute,ambiance,lovely,decor,1.0
lot of,table,warm,meal,0.5152
like,spicy food,great,soup,0.5152
large,bowl,big,plate,1.0
big,plate,large,bowl,1.0
small,meal,disappointed,portion,0.5455
disappointed,portion,small,meal,0.5455
like,meal,lot of,meat,0.5278
stunning,decor,awesome,experience,0.5455
quick,server,fast,waiter,0.5161
fast,waiter,quick,server,0.5161
efficient,server,quick,staff,0.5135
quick,staff,efficient,server,0.5135
attentive,waiter,professional,server,1.0
spicy,sauce,flavourful,dish,1.0
comfortable,restaurant,friendly,place,0.5278
beautiful,atmosphere,nice,vibe,1.0
nice,vibe,beautiful,atmosphere,1.0
professional,staff,helpful,server,1.0
helpful,server,professional,staff,1.0
good,french toast,delicious,brunch,0.5143
worth,service,quickly,server,0.5135
small,shop,tiny,restaurant,0.5455
average,taste,favorite,food,0.5135
favorite,food,average,taste,0.5135
great,selection of beer,excellent,beer selection,0.5143
excellent,beer selection,great,selection of beer,0.5143
rush,service,prompt,server,0.5278
prompt,server,rush,service,0.5278
complimentary,bread,average,meal,0.5758
clean,environment,spacious,place,0.5082
nice,treat,lovely,lunch,1.0
perfect,choice,recommend,experience,0.5429
