premise_mod,premise_asp,conclusion_mod,conclusion_asp,confidence
excellent,finish,great,construction,1.0
excellent,image,good,photo,1.0
good,photo,excellent,image,1.0
easy,typing,excellent,keyboard,1.0
high,quality,excellent,one,0.5455
amazing,tv,excellent,picture,0.5135
great,video quality,excellent,picture quality,0.5161
great,antenna,excellent,reception,1.0
excellent,signal,stable,connection,1.0
stable,connection,excellent,signal,1.0
excellent,signal strength,great,router,0.5135
excellent,volume,good,music,0.5178
good,music,excellent,volume,0.5178
awesome,quality,exceptional,sound,1.0
extra,room,great,bag,0.5429
great,bag,extra,room,0.5429
fair,price,fast,delivery,0.5278
fast,delivery,fair,price,0.5278
fantastic,image quality,great,photo,0.5093
fantastic,picture,nice,tv,0.5185
superb,sound,fantastic,quality,0.5152
fantastic,screen,front,camera,0.5492
powerful,sound,fantastic,speaker,0.5366
better,image,fantastic,video,1.0
fast,one,decent,speed,0.5135
decent,speed,fast,one,0.5135
fine,picture,nice,tv,0.5143
fine,quality,good,clarity,0.5135
good,clarity,fine,quality,0.5135
fine,range,great,distance,0.5429
great,distance,fine,range,0.5429
flexible,cord,nice,cable,0.5143
nice,cable,flexible,cord,0.5143
thin,wire,flimsy,cord,1.0
full,charge,great,battery,0.5015
functional,keyboard,good,action,0.5103
awesome,tv,good,3d,0.5152
amazing,feature,good,ability,0.5161
smart,phone,good,app,0.5015
good,audio,great,video quality,0.5294
great,video quality,good,audio,0.5294
comfortable,shoulder strap,good,bag,0.5294
solid,construction,good,build quality,0.5429
nice,click,good,button,1.0
bright,image,good,color,0.5278
good,construction,great,build quality,1.0
great,build quality,good,construction,1.0
good,contrast,amazing,color,0.5294
amazing,color,good,contrast,0.5294
nice,leather,good,cover,0.5052
comfortable to use,keyboard,good,feel,1.0
good,finish,great,protection,0.5466
great,protection,good,finish,0.5466
good,focus,great,shot,0.5517
great,shot,good,focus,0.5517
great,texture,good,grip,0.52
good,hardware,fast,device,0.5263
good,image stabilization,soft,picture,0.5135
good,key,nice,touch,0.5078
nice,touch,good,key,0.5078
good,keyboard,easy,typing,0.5294
easy,typing,good,keyboard,0.5294
good,luck,different,one,0.5294
comfortable,strap,good,material,0.5135
good,packaging,reasonable,price,0.55
good,padding,perfect,bag,0.5178
perfect,bag,good,padding,0.5178
good,performance,nice,software,0.5238
nice,software,good,performance,0.5238
clear,shot,good,photo,0.5008
good,photo quality,amazing,camera,0.5455
excellent,feature,good,picture,0.5117
good,point,great,feature,1.0
good,range,great,distance,0.5143
great,distance,good,range,0.5143
beautiful,thing,good,rating,0.5016
excellent,image,good,result,0.5312
great,guy,good,return policy,0.5135
excellent,signal strength,good,router,0.55
good,sensitivity,comfortable,shape,0.5581
comfortable,shape,good,sensitivity,0.5581
good,setup,easy,set up,0.5087
easy,set up,good,setup,0.5087
good,transfer speed,great,capacity,0.5238
amazing,3d,good,tv,0.5417
good,value,nice,price,1.0
nice,price,good,value,1.0
good,warranty,year old,one,0.5429
year old,one,good,warranty,0.5429
positive,experience,great,amount,0.5278
great,antenna,better,reception,0.5135
great,box,good,internet connection,0.5278
good,internet connection,great,box,0.5278
great,build quality,solid,construction,1.0
solid,construction,great,build quality,1.0
sturdy,connector,great,cable,0.5135
great,capacity,good,transfer speed,0.5143
good,transfer speed,great,capacity,0.5143
great,color,bright,image,1.0
amazing,color,great,contrast,0.505
great,coverage,easy to setup,router,0.5278
easy to setup,router,great,coverage,0.5278
great,display,awesome,screen,1.0
awesome,screen,great,display,1.0
great,distance,fine,range,0.5429
fine,range,great,distance,0.5429
great,earbud,small,ear canal,0.5152
small,ear canal,great,earbud,0.5152
many,option,great,feature,0.5117
great,feel,good,response,0.5135
good,response,great,feel,0.5135
good,return policy,great,guy,0.5294
great,light,bright,thing,0.5152
great,mic,comfortable,headset,0.5135
excellent,audio,great,microphone,0.5232
great,packaging,amazing,price,0.5161
amazing,price,great,packaging,0.5161
great,performance,bad,experience,0.5135
bad,experience,great,performance,0.5135
great,photo,fantastic,image quality,1.0
fantastic,image quality,great,photo,1.0
great,picture,amazing,tv,0.5294
fast,shipping,great,price,0.5037
small,antenna,great,reception,0.5217
great,response,perfect,feel,0.5278
perfect,feel,great,response,0.5278
superb,image quality,great,result,0.5143
great,selection,good,app,0.5278
good,app,great,selection,0.5278
great,setup,easy to set,unit,1.0
easy to set,unit,great,setup,1.0
large,home,great,signal,0.5278
better,bass,great,sound,1.0
great,speaker,powerful,sound,1.0
powerful,sound,great,speaker,1.0
amazing,speaker,great,system,1.0
sharp,screen,great,tablet,0.5143
great,touch screen,responsive,touchscreen,1.0
responsive,touchscreen,great,touch screen,1.0
great,video quality,better,picture quality,0.5173
better,picture quality,great,video quality,0.5173
happy,people,better,one,0.5545
better,one,happy,people,0.5545
great,feature,hard,button,0.5294
hard,shell,perfect,case,0.5152
long,cable,heavy,cord,0.5016
helpful,review,great,deal,0.5257
great,deal,helpful,review,0.5257
high,cost,hard,drive,1.0
hard,drive,high,cost,1.0
high,rating,low,quality,0.52
low,quality,high,rating,0.52
high,resolution,nice,video,0.5405
nice,video,high,resolution,0.5405
decent,bass,hollow,sound,0.5185
high,expectation,impressive,quality,0.5312
incredible,bass,smooth,sound,0.5135
smooth,sound,incredible,bass,0.5135
incredible,picture,beautiful,image,1.0
beautiful,image,incredible,picture,1.0
big,head,large,ear,0.5152
smooth,scroll wheel,light,mouse,0.5294
limited,budget,cheap,build quality,1.0
great,port,little,light,0.5278
good,low,long,wire,0.5123
low,light,plastic,body,0.5238
plastic,body,low,light,0.5238
low,resolution,many,feature,0.5152
many,feature,low,resolution,0.5152
great,distance,more,range,0.5103
enough,space,more,room,0.5185
more,storage,great,capacity,1.0
great,capacity,more,storage,1.0
much,experience,happy,wife,0.5429
much well,picture,beautiful,image,0.5278
beautiful,image,much well,picture,0.5278
much well,quality,good,clarity,1.0
good,clarity,much well,quality,1.0
multiple,device,strong,wifi signal,0.5278
nice,feel,large,finger,0.5282
large,finger,nice,feel,0.5282
solid,bass,nice,high,0.5294
nice,keyboard,good,touch,0.5294
good,touch,nice,keyboard,0.5294
nice,picture quality,great,image,1.0
great,image,nice,picture quality,1.0
nice,shape,useful,button,0.5152
good,performance,nice,software,0.5429
nice,speaker,beautiful,sound,0.5143
good,sound,not bad,quality,1.0
not good,picture,great,image,0.5152
not great,range,bad,signal,1.0
not sharp,picture,clean,image,0.5312
noticeable,difference,slight,edge,0.5294
slight,edge,noticeable,difference,0.5294
other,camera,better,video,0.5152
better,video,other,camera,0.5152
good,kit lens,outstanding,image quality,0.52
impressive,speed,outstanding,performance,0.5152
outstanding,picture,beautiful,image,1.0
beautiful,image,outstanding,picture,1.0
outstanding,picture quality,beautiful,image,0.5345
beautiful,image,outstanding,picture quality,0.5345
perfect,bass,smooth,sound,1.0
good,photo quality,perfect,camera,1.0
great,contrast,perfect,color,0.5312
smooth,scroll wheel,perfect,mouse,0.5161
3d,tv,perfect,picture quality,0.5135
perfect,range,decent,build quality,0.5056
perfect,reception,acceptable,range,0.5312
acceptable,range,perfect,reception,0.5312
perfect,screen,nice,display,0.5135
nice,display,perfect,screen,0.5135
sharp,screen,perfect,tablet,0.5135
phenomenal,sound,remarkable,quality,0.5063
good,router,poor,signal,0.5417
protective,cover,great,protection,0.5135
quick,focus,excellent,lens,0.5143
good,instruction,quick,installation,1.0
quiet,keyboard,nice,touch,0.5417
amazing,screen,rear,camera,0.52
reflective,screen,crisp,color,0.5135
crisp,color,reflective,screen,0.5135
responsive,touch screen,great,tablet,0.5304
great,specs,responsive,touchscreen,0.5278
right,length,perfect,cable,0.5278
right,price,nice,packaging,0.56
nice,packaging,right,price,0.56
same,result,better,performance,0.5135
better,performance,same,result,0.5135
sharp,display,great,screen,0.5172
great,screen,sharp,display,0.5172
sharp,picture quality,excellent,color,0.52
great,image,sharper,picture,0.5135
short,range,poor,signal,0.5135
silent,drive,safe,datum,0.5294
safe,datum,silent,drive,0.5294
slow,focus,soft,image,0.52
small,button,many,function,0.5016
many,function,small,button,0.5016
small,head,hot,ear,0.5278
hot,ear,small,head,0.5278
small,product,tiny,thing,1.0
tiny,thing,small,product,1.0
small,sensor,heavy,camera,0.5278
smart,phone,great,interface,0.5278
great,interface,smart,phone,0.5278
smooth,installation,good,instruction,0.535
smooth,key,nice,touch,0.5429
nice,touch,smooth,key,0.5429
smooth,motion,good,sensitivity,0.5082
good,sensitivity,smooth,motion,0.5082
smooth,scroll,better,mouse,1.0
incredible,bass,smooth,sound,0.5263
good,image stabilization,soft,picture,1.0
solid,connection,stiff,cable,0.5294
solid,construction,great,build quality,1.0
great,build quality,solid,construction,1.0
solid,one,more,price,0.5278
more,price,solid,one,0.5278
solid,thing,sturdy,unit,0.5185
sturdy,unit,solid,thing,0.5185
poor,instruction,straightforward,installation,0.5135
wireless,network,straightforward,setup,0.5294
external,antenna,strong,signal,0.52
stunning,image,amazing,photo,1.0
amazing,photo,stunning,image,1.0
stunning,picture,beautiful,image,0.5135
beautiful,image,stunning,picture,0.5135
amazing,image,stunning,quality,0.5161
sturdy,product,good,screen protector,0.525
great,image,superb,picture quality,0.5016
terrible,range,good,coverage,0.5294
terrible,speaker,more,volume,0.5294
tight,connection,nice,connector,0.5143
nice,connector,tight,connection,0.5143
tiny,thing,small,product,1.0
small,product,tiny,thing,1.0
outstanding,sound,unbelievable,quality,0.5143
uncomfortable,headphone,sore,ear,0.5135
useful,button,awesome,mouse,0.5178
awesome,mouse,useful,button,0.5178
useful,product,awesome,thing,0.5417
awesome,thing,useful,product,0.5417
vivid,color,good,brightness,0.5044
excellent,clarity,wonderful,quality,0.5143
wonderful,sound,clear,music,1.0
clear,music,wonderful,sound,1.0
perfect,image,3d,tv,0.5135
perfect,picture quality,3d,tv,0.5294
acceptable,battery life,amazing,battery life,1.0
amazing,battery life,acceptable,battery life,1.0
acceptable,battery life,better,battery life,1.0
better,battery life,acceptable,battery life,1.0
acceptable,quality,mediocre,quality,0.5517
decent,quality,acceptable,quality,0.5385
acceptable,range,good,range,1.0
good,range,acceptable,range,1.0
acceptable,sound,tinny,sound,1.0
tinny,sound,acceptable,sound,1.0
accurate,bass,excellent,bass,1.0
excellent,bass,accurate,bass,1.0
accurate,color,good,color,0.5185
good,color,accurate,color,0.5185
accurate,color,rich,color,0.5135
accurate,focus,fast,autofocus,1.0
fast,autofocus,accurate,focus,1.0
slow,focus,accurate,focus,0.5294
adequate,bass,weak,bass,0.5143
weak,bass,adequate,bass,0.5143
adequate,quality,fine,quality,1.0
fine,quality,adequate,quality,1.0
adequate,quality,good,quality,0.5422
adjustable,strap,comfortable,strap,1.0
comfortable,strap,adjustable,strap,1.0
affordable,price,cheap,thing,0.5212
amazing,3d,good,3d,1.0
good,3d,amazing,3d,1.0
amazing,tv,amazing,3d,0.5429
amazing,ability,more,feature,0.5238
more,feature,amazing,ability,0.5238
amazing,bass,awesome,bass,1.0
awesome,bass,amazing,bass,1.0
amazing,bass,nice,bass,1.0
nice,bass,amazing,bass,1.0
amazing,battery,incredible,battery life,1.0
incredible,battery life,amazing,battery,1.0
amazing,battery,good,battery,1.0
good,battery,amazing,battery,1.0
amazing,battery,exceptional,battery life,0.5517
exceptional,battery life,amazing,battery,0.5517
amazing,battery life,fantastic,battery life,1.0
fantastic,battery life,amazing,battery life,1.0
amazing,battery life,acceptable,battery life,0.5161
amazing,battery life,long,battery life,1.0
long,battery life,amazing,battery life,1.0
amazing,camera,fantastic,camera,1.0
fantastic,camera,amazing,camera,1.0
amazing,camera,awesome,camera,1.0
awesome,camera,amazing,camera,1.0
amazing,camera,perfect,camera,1.0
perfect,camera,amazing,camera,1.0
amazing,case,great,case,1.0
great,case,amazing,case,1.0
amazing,case,awesome,case,1.0
awesome,case,amazing,case,1.0
amazing,case,beautiful,case,1.0
beautiful,case,amazing,case,1.0
amazing,clarity,amazing,quality,1.0
amazing,quality,amazing,clarity,1.0
amazing,clarity,amazing,image,0.5294
amazing,image,amazing,clarity,0.5294
amazing,color,fantastic,color,1.0
fantastic,color,amazing,color,1.0
amazing,design,great,design,1.0
great,design,amazing,design,1.0
amazing,design,good,design,0.5152
good,design,amazing,design,0.5152
amazing,detail,quick,auto focus,0.5161
amazing,device,better,device,0.5263
better,device,amazing,device,0.5263
amazing,device,great,device,1.0
great,device,amazing,device,1.0
amazing,game,great,game,1.0
great,game,amazing,game,1.0
amazing,graphic,amazing,game,1.0
amazing,graphic,great,graphic,1.0
great,graphic,amazing,graphic,1.0
amazing,headphone,excellent,headphone,1.0
excellent,headphone,amazing,headphone,1.0
amazing,image,sharp,picture,0.5128
sharp,picture,amazing,image,0.5128
amazing,image,amazing,image quality,1.0
amazing,image quality,amazing,image,1.0
crisp,photo,amazing,image quality,0.5152
amazing,keyboard,fantastic,keyboard,1.0
fantastic,keyboard,amazing,keyboard,1.0
amazing,keyboard,great,keyboard,0.5185
great,keyboard,amazing,keyboard,0.5185
amazing,lens,great,lens,1.0
great,lens,amazing,lens,1.0
amazing,lens,awesome,lens,1.0
awesome,lens,amazing,lens,1.0
amazing,performance,good,performance,0.5278
good,performance,amazing,performance,0.5278
amazing,photo,stunning,image,0.5152
stunning,image,amazing,photo,0.5152
amazing,picture,awesome,picture,1.0
awesome,picture,amazing,picture,1.0
amazing,picture quality,amazing,picture,0.5178
amazing,picture,amazing,picture quality,0.5178
amazing,picture quality,awesome,picture,1.0
awesome,picture,amazing,picture quality,1.0
amazing,price,much well,price,1.0
much well,price,amazing,price,1.0
amazing,price,excellent,service,1.0
excellent,service,amazing,price,1.0
amazing,product,great,product,1.0
great,product,amazing,product,1.0
amazing,product,excellent,product,1.0
excellent,product,amazing,product,1.0
amazing,quality,incredible,quality,1.0
incredible,quality,amazing,quality,1.0
amazing,quality,superb,build quality,1.0
superb,build quality,amazing,quality,1.0
amazing,range,fantastic,range,1.0
fantastic,range,amazing,range,1.0
amazing,range,great,range,1.0
great,range,amazing,range,1.0
amazing,resolution,excellent,resolution,1.0
excellent,resolution,amazing,resolution,1.0
amazing,result,great,result,1.0
great,result,amazing,result,1.0
awesome,screen,amazing,screen,0.5135
amazing,screen,beautiful,screen,0.5556
beautiful,screen,amazing,screen,0.5556
convenient,size,amazing,size,0.5294
amazing,sound,rich,sound,1.0
rich,sound,amazing,sound,1.0
amazing,sound,phenomenal,sound,1.0
phenomenal,sound,amazing,sound,1.0
amazing,speaker,fantastic,speaker,1.0
fantastic,speaker,amazing,speaker,1.0
amazing,speaker,great,speaker,1.0
great,speaker,amazing,speaker,1.0
amazing,speed,impressive,speed,1.0
impressive,speed,amazing,speed,1.0
good,performance,amazing,speed,0.5313
amazing,tablet,responsive,tablet,0.5143
responsive,tablet,amazing,tablet,0.5143
amazing,tablet,great,tablet,1.0
great,tablet,amazing,tablet,1.0
amazing,tablet,sharp,screen,1.0
amazing,thing,awesome,thing,1.0
awesome,thing,amazing,thing,1.0
amazing,tv,good,tv,1.0
good,tv,amazing,tv,1.0
amazing,tv,awesome,tv,1.0
awesome,tv,amazing,tv,1.0
amazing,video quality,better,video,1.0
better,video,amazing,video quality,1.0
amazing,video quality,good,video,0.5107
good,video,amazing,video quality,0.5107
amazing,video quality,superb,video quality,1.0
superb,video quality,amazing,video quality,1.0
amazing,zoom,good,zoom,1.0
good,zoom,amazing,zoom,1.0
annoying,light,blue,light,0.5143
as good,cable,better,cable,1.0
better,cable,as good,cable,1.0
as good,picture,great,picture,1.0
great,picture,as good,picture,1.0
as good,picture,fine,picture,1.0
fine,picture,as good,picture,1.0
as good,picture,excellent,picture,0.5455
excellent,picture,as good,picture,0.5455
as good,quality,great,quality,1.0
great,quality,as good,quality,1.0
as good,quality,good,quality,1.0
good,quality,as good,quality,1.0
as good,quality,excellent,quality,1.0
excellent,quality,as good,quality,1.0
as good,sound,rich,sound,1.0
rich,sound,as good,sound,1.0
as good,sound,great,sound,1.0
great,sound,as good,sound,1.0
as simple,setup,simple,setup,0.5588
simple,setup,as simple,setup,0.5588
slow,internet connection,as simple,setup,0.5294
nice,design,attractive,design,0.544
available,app,more,app,1.0
more,app,available,app,1.0
available,feature,better,software,0.5172
available,information,new,version,0.5278
new,version,available,information,0.5278
available,manual,intuitive,user interface,0.5268
average,hand,medium,hand,0.52
medium,hand,average,hand,0.52
average,quality,decent,quality,0.5294
decent,quality,average,quality,0.5294
average,sound,acceptable,sound,1.0
acceptable,sound,average,sound,1.0
awesome,bass,nice,bass,1.0
nice,bass,awesome,bass,1.0
awesome,bass,perfect,bass,1.0
perfect,bass,awesome,bass,1.0
awesome,battery life,great,battery life,1.0
great,battery life,awesome,battery life,1.0
awesome,battery life,fantastic,battery life,1.0
fantastic,battery life,awesome,battery life,1.0
awesome,battery life,good,battery life,1.0
good,battery life,awesome,battery life,1.0
awesome,cable,better,cable,1.0
better,cable,awesome,cable,1.0
awesome,camera,fantastic,camera,1.0
fantastic,camera,awesome,camera,1.0
awesome,camera,good,photo quality,1.0
good,photo quality,awesome,camera,1.0
awesome,case,amazing,case,1.0
amazing,case,awesome,case,1.0
awesome,color,good,color,1.0
good,color,awesome,color,1.0
better,device,awesome,device,0.5172
awesome,drive,light,drive,0.5278
light,drive,awesome,drive,0.5278
awesome,drive,full,drive,1.0
full,drive,awesome,drive,1.0
outstanding,battery life,awesome,feature,1.0
wide,variety,awesome,feature,0.5126
awesome,headphone,great,headphone,1.0
great,headphone,awesome,headphone,1.0
awesome,keyboard,great,keyboard,1.0
great,keyboard,awesome,keyboard,1.0
awesome,keyboard,comfortable,key,0.5159
comfortable,key,awesome,keyboard,0.5159
awesome,lens,amazing,lens,1.0
amazing,lens,awesome,lens,1.0
awesome,lens,great,lens,1.0
great,lens,awesome,lens,1.0
awesome,mouse,excellent,mouse,1.0
excellent,mouse,awesome,mouse,1.0
awesome,one,nice,finish,0.5037
nice,finish,awesome,one,0.5037
awesome,picture,amazing,picture,1.0
amazing,picture,awesome,picture,1.0
awesome,picture,outstanding,picture,0.5588
outstanding,picture,awesome,picture,0.5588
awesome,picture,stunning,picture,0.5135
stunning,picture,awesome,picture,0.5135
awesome,picture quality,great,picture quality,1.0
great,picture quality,awesome,picture quality,1.0
awesome,picture quality,excellent,picture quality,0.5385
excellent,picture quality,awesome,picture quality,0.5385
awesome,picture quality,amazing,picture quality,1.0
amazing,picture quality,awesome,picture quality,1.0
awesome,price,amazing,price,1.0
amazing,price,awesome,price,1.0
awesome,price,much well,price,1.0
much well,price,awesome,price,1.0
awesome,quality,superb,quality,1.0
awesome,quality,much well,quality,1.0
much well,quality,awesome,quality,1.0
awesome,range,good,range,1.0
good,range,awesome,range,1.0
awesome,remote,great,remote,1.0
great,remote,awesome,remote,1.0
awesome,remote,good,remote,1.0
good,remote,awesome,remote,1.0
awesome,screen,amazing,screen,0.5282
amazing,screen,awesome,screen,0.5282
awesome,screen,beautiful,display,0.5135
beautiful,display,awesome,screen,0.5135
awesome,sound,better,sound,1.0
better,sound,awesome,sound,1.0
awesome,sound,fantastic,sound,1.0
fantastic,sound,awesome,sound,1.0
awesome,sound,how good,sound,1.0
how good,sound,awesome,sound,1.0
awesome,speaker,fantastic,speaker,1.0
fantastic,speaker,awesome,speaker,1.0
awesome,speaker,nice,speaker,1.0
nice,speaker,awesome,speaker,1.0
awesome,speaker,amazing,speaker,1.0
amazing,speaker,awesome,speaker,1.0
awesome,speed,better,speed,1.0
better,speed,awesome,speed,1.0
awesome,speed,fast,speed,1.0
fast,speed,awesome,speed,1.0
awesome,speed,great,speed,1.0
great,speed,awesome,speed,1.0
awesome,tablet,good,tablet,1.0
good,tablet,awesome,tablet,1.0
awesome,tablet,responsive,tablet,0.5294
responsive,tablet,awesome,tablet,0.5294
awesome,thing,great,thing,1.0
great,thing,awesome,thing,1.0
awesome,thing,nice,thing,1.0
nice,thing,awesome,thing,1.0
awesome,tv,perfect,tv,1.0
perfect,tv,awesome,tv,1.0
awesome,tv,great,tv,1.0
great,tv,awesome,tv,1.0
awesome,tv,amazing,tv,1.0
amazing,tv,awesome,tv,1.0
awesome,video,clear,video,0.5128
better,image,awesome,video,0.5429
awesome,zoom,great,zoom,1.0
great,zoom,awesome,zoom,1.0
awesome,zoom,amazing,zoom,1.0
amazing,zoom,awesome,zoom,1.0
awesome,zoom,fantastic,zoom,0.5016
fantastic,zoom,awesome,zoom,0.5016
bad,battery,dead,battery,1.0
dead,battery,bad,battery,1.0
bad,battery life,not good,battery life,1.0
not good,battery life,bad,battery life,1.0
bad,card,fast,card,0.5199
bad,picture,good,picture,0.5143
good,picture,bad,picture,0.5143
bad,problem,fantastic,feature,0.5278
fantastic,feature,bad,problem,0.5278
bad,quality,not good,quality,1.0
not good,quality,bad,quality,1.0
bad,quality,not great,quality,1.0
not great,quality,bad,quality,1.0
bad,range,short,range,0.52
short,range,bad,range,0.52
bad,range,not good,range,0.5278
not good,range,bad,range,0.5278
fine,speaker,bad,speaker,0.5301
good,isolation,balanced,sound,1.0
basic,remote,universal,remote,0.5263
universal,remote,basic,remote,0.5263
basic,remote,superb,picture,0.52
superb,picture,basic,remote,0.52
beautiful,bokeh,better,bokeh,1.0
better,bokeh,beautiful,bokeh,1.0
smooth,bokeh,beautiful,bokeh,0.528
beautiful,bokeh,nice,bokeh,1.0
nice,bokeh,beautiful,bokeh,1.0
beautiful,case,amazing,case,1.0
amazing,case,beautiful,case,1.0
beautiful,case,great,case,1.0
great,case,beautiful,case,1.0
beautiful,color,great,color,1.0
great,color,beautiful,color,1.0
beautiful,color,perfect,color,1.0
perfect,color,beautiful,color,1.0
beautiful,display,awesome,screen,0.5581
awesome,screen,beautiful,display,0.5581
beautiful,display,great,screen,0.5135
great,screen,beautiful,display,0.5135
beautiful,image,awesome,picture,0.5294
beautiful,picture,bright,picture,1.0
bright,picture,beautiful,picture,1.0
beautiful,picture,nice,picture,1.0
nice,picture,beautiful,picture,1.0
beautiful,picture,wonderful,picture,1.0
wonderful,picture,beautiful,picture,1.0
beautiful,quality,nice,set,0.5429
beautiful,screen,gorgeous,screen,1.0
gorgeous,screen,beautiful,screen,1.0
beautiful,screen,amazing,screen,0.5417
beautiful,screen,awesome,screen,0.5294
awesome,screen,beautiful,screen,0.5294
beautiful,sound,nice,speaker,0.5135
nice,speaker,beautiful,sound,0.5135
better,bass,adequate,bass,0.5429
adequate,bass,better,bass,0.5429
better,battery,better,battery life,1.0
better,battery life,better,battery,1.0
better,battery life,decent,battery life,0.5278
decent,battery life,better,battery life,0.5278
better,battery life,fine,battery life,0.5429
fine,battery life,better,battery life,0.5429
better,bokeh,nice,bokeh,0.5152
nice,bokeh,better,bokeh,0.5152
better,build quality,good,build,1.0
good,build,better,build quality,1.0
better,cable,great,cable,1.0
great,cable,better,cable,1.0
better,cable,perfect,cable,0.5217
perfect,cable,better,cable,0.5217
better,cable,good,cable,1.0
good,cable,better,cable,1.0
better,camera,good,camera,0.5224
good,camera,better,camera,0.5224
better,camera,wonderful,camera,0.5135
better,case,good,case,1.0
good,case,better,case,1.0
better,color,good,color,1.0
good,color,better,color,1.0
better,control,good,feature,0.5294
good,feature,better,control,0.5294
responsive,touch screen,better,display,0.5178
better,feature,great,feature,0.5212
great,feature,better,feature,0.5212
better,feel,perfect,feel,1.0
perfect,feel,better,feel,1.0
better,fit,great,fit,1.0
great,fit,better,fit,1.0
better,headphone,nice,headphone,0.5199
nice,headphone,better,headphone,0.5199
better,headphone,good,headphone,1.0
good,headphone,better,headphone,1.0
better,image,awesome,video,1.0
better,image,good,image,1.0
good,image,better,image,1.0
better,image quality,good,image quality,1.0
good,image quality,better,image quality,1.0
solid,keyboard,better,keyboard,0.5455
better,lens,nice,lens,1.0
nice,lens,better,lens,1.0
better,feature,better,model,0.5357
better,mouse,comfortable,mouse,0.5294
comfortable,mouse,better,mouse,0.5294
better,mouse,awesome,mouse,1.0
awesome,mouse,better,mouse,1.0
better,performance,good,performance,0.5172
better,performance,amazing,performance,1.0
