premise_mod,premise_asp,conclusion_mod,conclusion_asp,confidence
great,breakfast,awesome,breakfast,1.0
awesome,breakfast,good,breakfast,1.0
good,breakfast,awesome,breakfast,1.0
awesome,experience,great,experience,1.0
great,experience,awesome,experience,1.0
awesome,experience,excellent,room service,0.5152
excellent,room service,awesome,experience,0.5152
awesome,food,good,service,0.5312
awesome,location,perfect,location,1.0
perfect,location,awesome,location,1.0
awesome,location,ideal,location,1.0
ideal,location,awesome,location,1.0
awesome,location,great,location,1.0
great,location,awesome,location,1.0
awesome,place,amazing,place,1.0
amazing,place,awesome,place,1.0
awesome,place,great,place,1.0
great,place,awesome,place,1.0
awesome,room,fantastic,room,1.0
fantastic,room,awesome,room,1.0
awesome,room,love,room,1.0
love,room,awesome,room,1.0
excellent,room,awesome,room,0.5152
awesome,service,great,service,1.0
great,service,awesome,service,1.0
awesome,staff,great,staff,1.0
great,staff,awesome,staff,1.0
awesome,staff,amazing,staff,1.0
amazing,staff,awesome,staff,1.0
awesome,staff,friendly,people,1.0
friendly,people,awesome,staff,1.0
great,place,awesome,stay,0.5
awesome,view,great,view,1.0
great,view,awesome,view,1.0
awesome,view,good,view,1.0
good,view,awesome,view,1.0
awesome,view,amazing,view,1.0
amazing,view,awesome,view,1.0
awful,bed,bad,bed,1.0
bad,bed,awful,bed,1.0
awful,breakfast,terrible,breakfast,1.0
terrible,breakfast,awful,breakfast,1.0
awful,hotel,bad,hotel,1.0
bad,hotel,awful,hotel,1.0
awful,room,terrible,room,1.0
terrible,room,awful,room,1.0
not clean,room,awful,room,1.0
awful,smell,bad,smell,1.0
bad,smell,awful,smell,1.0
awful,smell,weird,smell,0.5
weird,smell,awful,smell,0.5
bad,area,bad,neighborhood,1.0
bad,neighborhood,bad,area,1.0
bad,area,sketchy,location,0.5152
sketchy,location,bad,area,0.5152
uncomfortable,bed,bad,bed,1.0
bad,breakfast,terrible,breakfast,1.0
terrible,breakfast,bad,breakfast,1.0
minimal,breakfast,bad,breakfast,1.0
bad,coffee,bad,breakfast,0.5152
minimal,breakfast,bad,coffee,0.5152
rude,manager,bad,experience,0.5152
bad,experience,horrible,customer service,0.5312
horrible,customer service,bad,experience,0.5312
bad,experience,horrible,experience,0.5312
dirty,hotel,bad,hotel,0.5134
weak,wifi,bad,hotel,0.5484
outdated,hotel,bad,hotel experience,0.5484
bad,location,not good,neighborhood,1.0
not good,neighborhood,bad,location,1.0
sketchy,area,bad,location,0.5484
bad,neighborhood,bad,location,0.5152
bad,parking,terrible,parking,1.0
terrible,parking,bad,parking,1.0
dirty,place,bad,place,0.5455
dirty,floor,bad,place,0.5152
bad,room,bad,hotel,0.5
bad,hotel,bad,room,0.5
bad,room,bad,experience,0.5152
bad,experience,bad,room,0.5152
horrible,hotel,bad,room,0.5312
bad,experience,bad,service,0.5172
bad,service,horrible,service,1.0
horrible,service,bad,service,1.0
bad,service,rude,front desk staff,0.501
rude,front desk staff,bad,service,0.501
bad,smell,awful,smell,1.0
awful,smell,bad,smell,1.0
bad,smell,horrible,smell,1.0
horrible,smell,bad,smell,1.0
bad,staff,bad,experience,1.0
bad,hotel,bad,wifi,1.0
basic,breakfast,simple,breakfast,1.0
simple,breakfast,basic,breakfast,1.0
good,price,basic,hotel,0.5152
basic,room,basic,hotel,0.5333
beautiful,architecture,beautiful old,hotel,0.5238
beautiful old,hotel,beautiful,architecture,0.5238
beautiful,bar,great,bar,1.0
great,bar,beautiful,bar,1.0
gorgeous,lobby,beautiful,building,0.5152
beautiful,city,wonderful,stay,0.52
beautiful,decor,love,lobby,0.5484
love,lobby,beautiful,decor,0.5484
beautiful,facility,beautiful,service,0.5312
beautiful,service,beautiful,facility,0.5312
beautiful,facility,beautiful,property,1.0
beautiful,property,beautiful,facility,1.0
beautiful,facility,beautiful,hotel,1.0
beautiful,hotel,beautiful,facility,1.0
beautiful,historic,beautiful,architecture,1.0
beautiful,building,beautiful,historic,0.5152
beautiful,hotel,beautiful,property,0.5484
beautiful,property,beautiful,hotel,0.5484
beautiful,hotel,elegant,hotel,0.5
elegant,hotel,beautiful,hotel,0.5
beautiful,hotel,beautiful,place,1.0
beautiful,place,beautiful,hotel,1.0
beautiful,interior,gorgeous,lobby,0.5
gorgeous,lobby,beautiful,interior,0.5
beautiful,interior,beautiful,lobby,0.501
beautiful,lobby,beautiful,interior,0.501
beautiful,lobby,gorgeous,lobby,1.0
gorgeous,lobby,beautiful,lobby,1.0
beautiful,lobby,beautiful,building,1.0
elegant,hotel,beautiful,place,0.5185
beautiful,property,beautiful,facility,1.0
beautiful,facility,beautiful,property,1.0
beautiful,property,beautiful,hotel,0.5
beautiful,hotel,beautiful,property,0.5
beautiful,room,gorgeous,room,1.0
gorgeous,room,beautiful,room,1.0
beautiful,room,wonderful,room,1.0
wonderful,room,beautiful,room,1.0
amazing,hotel,beautiful,room,0.5217
beautiful,staff,beautiful,property,0.5667
beautiful,suite,beautiful,facility,0.5152
beautiful,suite,gorgeous,room,1.0
gorgeous,room,beautiful,suite,1.0
beautiful,view,spectacular,view,1.0
spectacular,view,beautiful,view,1.0
beautiful,view,wonderful,view,1.0
wonderful,view,beautiful,view,1.0
beautiful,view,beautiful,view of city,1.0
beautiful,view of city,beautiful,view,1.0
gorgeous,view,beautiful,view of bay,0.5152
beautiful,view of bay,breathtake,view,0.5312
breathtake,view,beautiful,view of bay,0.5312
beautiful,view of bay,stunning,view,0.5161
stunning,view,beautiful,view of bay,0.5161
beautiful,view of city,wonderful,view,0.5667
wonderful,view,beautiful,view of city,0.5667
beautiful,view of city,amazing,view,1.0
amazing,view,beautiful,view of city,1.0
beautiful old,hotel,beautiful,architecture,0.5161
beautiful,architecture,beautiful old,hotel,0.5161
better,breakfast,improve,breakfast,1.0
improve,breakfast,better,breakfast,1.0
better,breakfast,fine,breakfast,1.0
fine,breakfast,better,breakfast,1.0
better,location,perfect for,location,0.5152
perfect for,location,better,location,0.5152
better,service,love,service,0.5161
love,service,better,service,0.5161
better,service,nice,service,1.0
nice,service,better,service,1.0
better,view,perfect,view,1.0
perfect,view,better,view,1.0
big,bathroom,large,bathroom,1.0
large,bathroom,big,bathroom,1.0
big,closet,large,closet,1.0
large,closet,big,closet,1.0
big,hotel,large,hotel,0.5484
large,hotel,big,hotel,0.5484
big,hotel,huge,hotel,1.0
huge,hotel,big,hotel,1.0
big,room,large,room,0.5556
large,room,big,room,0.5556
big,room,spacious,room,1.0
spacious,room,big,room,1.0
nice,bathroom,big,shower,0.5312
big,tv,great,tv,1.0
great,tv,big,tv,1.0
big,tv,huge,tv,1.0
huge,tv,big,tv,1.0
bit cramped,room,bit small,room,1.0
bit small,room,bit cramped,room,1.0
bit cramped,room,smallish,room,1.0
smallish,room,bit cramped,room,1.0
bit dated,room,dated,room,1.0
dated,room,bit dated,room,1.0
bit old,room,ok,room,0.5333
bit small,bathroom,small,bathroom,0.5172
small,bathroom,bit small,bathroom,0.5172
bit small,bathroom,little small,bathroom,1.0
little small,bathroom,bit small,bathroom,1.0
bit small,room,little small,room,1.0
little small,room,bit small,room,1.0
bit small,room,smallish,room,1.0
smallish,room,bit small,room,1.0
bit thin,wall,little thin,wall,1.0
little thin,wall,bit thin,wall,1.0
boutique,hotel,nice boutique,hotel,1.0
nice boutique,hotel,boutique,hotel,1.0
boutique,hotel,great boutique,hotel,1.0
great boutique,hotel,boutique,hotel,1.0
break,bed,dirty,hotel,0.5312
dirty,hotel,break,bed,0.5312
break,bed,bad,hotel,0.5152
bad,hotel,break,shower,0.5
breathtake,view,gorgeous,view,1.0
gorgeous,view,breathtake,view,1.0
breathtake,view,stunning,view,1.0
stunning,view,breathtake,view,1.0
beautiful,view of bay,breathtake,view,0.5152
brilliant,location,excellent,location,1.0
excellent,location,brilliant,location,1.0
brilliant,location,awesome,location,1.0
awesome,location,brilliant,location,1.0
brilliant,location,great,position,1.0
great,position,brilliant,location,1.0
brilliant,staff,awesome,staff,1.0
awesome,staff,brilliant,staff,1.0
brilliant,staff,friendly,atmosphere,0.5484
friendly,atmosphere,brilliant,staff,0.5484
busy,place,busy,hotel,1.0
busy,hotel,busy,place,1.0
busy,place,busy,lobby,1.0
busy,lobby,busy,place,1.0
busy,staff,busy,hotel,0.5245
busy,hotel,busy,staff,0.5245
central,location,great,central location,1.0
great,central location,central,location,1.0
central,location,centrally locate,hotel,1.0
centrally locate,hotel,central,location,1.0
close to,transport,central,location,0.5152
central to,location,centrally locate,hotel,0.5312
centrally locate,hotel,central to,location,0.5312
centrally locate,hotel,great,central location,1.0
great,central location,centrally locate,hotel,1.0
centrally locate,hotel,central to,location,0.56
central to,location,centrally locate,hotel,0.56
centrally locate,hotel,central,location,1.0
central,location,centrally locate,hotel,1.0
charming,decor,nice,decoration,0.5385
nice,decoration,charming,decor,0.5385
charming,hotel,quaint,hotel,0.5152
quaint,hotel,charming,hotel,0.5152
charming,place,charming,hotel,1.0
charming,hotel,charming,place,1.0
charming,room,interesting,hotel,0.5152
interesting,hotel,charming,room,0.5152
charming,staff,charming,hotel,0.5281
cheap,hotel,cheap,price,1.0
cheap,price,cheap,hotel,1.0
cheap,hotel,low,price,0.5
low,price,cheap,hotel,0.5
cheap,hotel,cheap,place,1.0
cheap,place,cheap,hotel,1.0
cheap,price,cheap,place,0.5484
cheap,price,cheap,place,1.0
cheap,place,cheap,price,1.0
cheap,price,low,price,1.0
low,price,cheap,price,1.0
cheerful,staff,welcome,staff,1.0
welcome,staff,cheerful,staff,1.0
cheerful,staff,knowledgeable,staff,0.5
knowledgeable,staff,cheerful,staff,0.5
elegant,lobby,classic,hotel,0.5143
clean,room,clean,area,0.5455
clean,bath,share,toilet,0.5312
share,toilet,clean,bath,0.5312
clean,bathroom,clean,shower,0.5
clean,shower,clean,bathroom,0.5
clean,bed,decent,room,0.5484
clean,carpet,new,carpet,1.0
new,carpet,clean,carpet,1.0
clean,kitchen,good,hostel,0.5066
clean,place,good,place,0.5263
nice,pool,clean,pool,0.5161
clean,room,clean,hotel,1.0
clean comfortable,room,pleasant,hotel,1.0
close,union square,convenient to,union square,1.0
convenient to,union square,close,union square,1.0
close,union square,two block from,union square,0.5312
two block from,union square,close,union square,0.5312
close,union square,walk distance to,union square,1.0
walk distance to,union square,close,union square,1.0
close by,everything,convenient to,everything,0.5484
convenient to,everything,close by,everything,0.5484
close by,everything,close to,everything,1.0
close to,everything,close by,everything,1.0
close to,area,convenient,place,0.5152
close to,area,close to,location,1.0
close to,location,close to,area,1.0
close to,bar,lot of,bar,0.5312
lot of,bar,close to,bar,0.5312
close to,bart,close to,bart station,1.0
close to,bart station,close to,bart,1.0
close to,bart,near,bart,1.0
near,bart,close to,bart,1.0
close to,bart station,close to,bart,1.0
close to,bart,close to,bart station,1.0
close to,bart station,near,bart,0.5385
near,bart,close to,bart station,0.5385
close to,bay,walking distance,fisherman 's wharf,0.5161
walking distance,fisherman 's wharf,close to,bay,0.5161
close to,beach,close to,bay,1.0
close to,bay,close to,beach,1.0
walking distance,pier,close to,beach,0.5333
close to,bus,close to,bus line,1.0
close to,bus line,close to,bus,1.0
close to,bus,reasonable,place,0.5333
close to,bus line,close to,bus stop,1.0
close to,bus stop,close to,bus line,1.0
close to,bus route,close to,bus stop,1.0
close to,bus stop,close to,bus route,1.0
close to,bus route,close to,bus line,1.0
close to,bus line,close to,bus route,1.0
close to,bus stop,close to,bus line,1.0
close to,bus line,close to,bus stop,1.0
great,location,close to,cable car,1.0
close to,cable car,close to,everything,0.5152
close to,everything,close to,cable car,0.5152
close to,cable car stop,super,location,0.5667
close to,center,close to,city center,1.0
close to,city center,close to,center,1.0
close to,china town,close to,chinatown,1.0
close to,chinatown,close to,china town,1.0
close to,china town,near,chinatown,0.5161
near,chinatown,close to,china town,0.5161
close to,china town,next to,chinatown,0.52
next to,chinatown,close to,china town,0.52
close to,chinatown,near,chinatown,0.5161
near,chinatown,close to,chinatown,0.5161
close to,chinatown,close to,china town,1.0
close to,china town,close to,chinatown,1.0
close to,chinatown,next to,chinatown,1.0
next to,chinatown,close to,chinatown,1.0
close to,city center,close to,center,1.0
close to,center,close to,city center,1.0
close to,city centre,close to,city center,1.0
close to,city center,close to,city centre,1.0
close to,everything,walking distance,everything,1.0
walking distance,everything,close to,everything,1.0
close to,everything,great,location,1.0
close to,fisherman 's,close to,fisherman 's wharf,1.0
close to,fisherman 's wharf,close to,fisherman 's,1.0
close to,fisherman 's,close to,fishermans wharf,1.0
close to,fishermans wharf,close to,fisherman 's,1.0
walking distance,pier 39,close to,fisherman 's,0.5152
close to,fisherman 's warf,close to,wharf,1.0
close to,wharf,close to,fisherman 's warf,1.0
close to,fisherman 's warf,close to,warf,0.5238
close to,warf,close to,fisherman 's warf,0.5238
close to,fisherman 's warf,near,wharf,1.0
near,wharf,close to,fisherman 's warf,1.0
close to,fisherman 's wharf,close to,fisherman 's,1.0
close to,fisherman 's,close to,fisherman 's wharf,1.0
close to,fisherman 's wharf,near,wharf,1.0
near,wharf,close to,fisherman 's wharf,1.0
close to,fishermans wharf,close to,fisherman 's,1.0
close to,fisherman 's,close to,fishermans wharf,1.0
close to,golden gate bridge,good,parking,0.5385
good,parking,close to,golden gate bridge,0.5385
close to,location,good,location,1.0
good,location,close to,location,1.0
close to,main attraction,close to,attraction,1.0
close to,attraction,close to,main attraction,1.0
close to,moscone center,close to,moscone,1.0
close to,moscone,close to,moscone center,1.0
close to,pier,close to,pier 39,1.0
close to,pier 39,close to,pier,1.0
close to,pier,close to,piers,1.0
close to,piers,close to,pier,1.0
close to,pier 39,close to,piers,1.0
close to,piers,close to,pier 39,1.0
close to,pier 39,close to,pier,0.5161
close to,pier,close to,pier 39,0.5161
close to,piers,close to,pier 39,1.0
close to,pier 39,close to,piers,1.0
close to,piers,close to,pier,1.0
close to,pier,close to,piers,1.0
close to,public transit,close to,public transportation,1.0
close to,public transportation,close to,public transit,1.0
close to,public transit,close to,market street,0.5161
close to,market street,close to,public transit,0.5161
close to,shopping,near,shopping,0.5143
near,shopping,close to,shopping,0.5143
close to,shopping,plenty of,shopping,0.5152
plenty of,shopping,close to,shopping,0.5152
close to,shopping,convenient to,shopping,1.0
convenient to,shopping,close to,shopping,1.0
close to,sight,perfect,place,0.5152
close to,store,close to,shop,1.0
close to,shop,close to,store,1.0
close to,pier 39,close to,tourist attraction,0.5152
close to,transit,close to,public transport,0.5484
close to,public transport,close to,transit,0.5484
close to,transport,close to,transportation,1.0
close to,transportation,close to,transport,1.0
close to,transport,central,hotel,0.5185
close to,trolley,perfect for,location,0.5113
close to,union sq,close to,union square,1.0
close to,union square,close to,union sq,1.0
close to,union square,good,location near union square,1.0
good,location near union square,close to,union square,1.0
2 block from,union square,close to,union square,0.5161
close to,warf,close to,wharf,0.5263
close to,wharf,close to,warf,0.5263
close to,water,close to,pier,0.5185
close to,pier,close to,water,0.5185
close to,water,close to,fisherman 's wharf,1.0
close to,fisherman 's wharf,close to,water,1.0
close to,waterfront,close to,pier,1.0
close to,pier,close to,waterfront,1.0
close to,wharf,walking distance,wharf,1.0
walking distance,wharf,close to,wharf,1.0
close to,wharf,near,wharf,1.0
near,wharf,close to,wharf,1.0
comfortable,accommodation,comfortable,hotel,0.5152
comfortable,hotel,comfortable,accommodation,0.5152
comfortable,accommodation,comfortable,room,0.5152
comfortable,room,comfortable,accommodation,0.5152
comfortable,bed,comfy,bed,1.0
comfy,bed,comfortable,bed,1.0
comfortable,bed,great,bed,1.0
great,bed,comfortable,bed,1.0
soft,bed,comfortable,bed,1.0
comfortable,chair,comfy,room,1.0
comfortable,room,comfortable,hotel,0.5152
comfortable,king bed,king,bed,0.5161
king,bed,comfortable,king bed,0.5161
comfortable,pillow,great,pillow,0.5152
furnished,room,comfortable,place,0.5152
comfortable,room,comfortable,hotel,1.0
comfortable,staff,delightful,staff,0.501
delightful,staff,comfortable,staff,0.501
comfortable,staff,terrific,staff,0.5312
comfortable,room,comfortable,stay,0.5385
comfy,bed,comfortable,bed,1.0
comfortable,bed,comfy,bed,1.0
comfy,bed,good,bed,1.0
good,bed,comfy,bed,1.0
comfy,bed,great,bed,1.0
great,bed,comfy,bed,1.0
comfy,pillow,good,pillow,1.0
good,pillow,comfy,pillow,1.0
comfy,room,comfortable,room,1.0
comfortable,room,comfy,room,1.0
competent,staff,efficient,staff,1.0
efficient,staff,competent,staff,1.0
complementary,breakfast,complimentary,breakfast,1.0
complimentary,breakfast,complementary,breakfast,1.0
complementary,coffee,complimentary,coffee,0.5113
complimentary,coffee,complementary,coffee,0.5113
complimentary,bottle,complimentary,water,1.0
complimentary,water,complimentary,bottle,1.0
complimentary,breakfast,great,continental breakfast,1.0
great,continental breakfast,complimentary,breakfast,1.0
complimentary,breakfast,fine,breakfast,0.5152
fine,breakfast,complimentary,breakfast,0.5152
complimentary,cheese,free,cheese,0.5161
free,cheese,complimentary,cheese,0.5161
complimentary,coffee,nice touch,coffee,0.5
nice touch,coffee,complimentary,coffee,0.5
complimentary,coffee,complementary,coffee,1.0
complementary,coffee,complimentary,coffee,1.0
complimentary,continental,nice,continental breakfast,0.5312
nice,continental breakfast,complimentary,continental,0.5312
fresh,cookie,complimentary,cookie,0.5312
complimentary,internet,free,wi,1.0
free,wi,complimentary,internet,1.0
complimentary,internet,free,internet service,1.0
free,internet service,complimentary,internet,1.0
complimentary,parking,nice,parking,0.5161
nice,parking,complimentary,parking,0.5161
great,parking,complimentary,parking,0.5152
complimentary,snack,free,snack,1.0
free,snack,complimentary,snack,1.0
complimentary,wifi,free,wi,0.5484
free,wi,complimentary,wifi,0.5484
complimentary,wine,great,wine,1.0
great,wine,complimentary,wine,1.0
complimentary,wine hour,free,wine hour,1.0
free,wine hour,complimentary,wine hour,1.0
complimentary,wine hour,great,wine hour,0.5152
great,wine hour,complimentary,wine hour,0.5152
complimentary,wine tasting,nice,wine reception,0.5312
nice,wine reception,complimentary,wine tasting,0.5312
soft,bed,confortable,room,0.5152
confortable,room,good size,room,1.0
constant,noise,noisy,location,0.5152
noisy,location,constant,noise,0.5152
constant,noise,terrible,room,1.0
continental,breakfast,nice,continental,0.5102
nice,continental,continental,breakfast,0.5102
convenient,bart,convenient to,bart,1.0
convenient to,bart,convenient,bart,1.0
easy,access to bart,convenient,bart,0.5161
convenient,breakfast,adequate,breakfast,1.0
adequate,breakfast,convenient,breakfast,1.0
convenient,breakfast,complimentary,breakfast,1.0
complimentary,breakfast,convenient,breakfast,1.0
convenient,location,convenient to,location,1.0
convenient to,location,convenient,location,1.0
convenient,hotel,convenient,location,0.5312
convenient,parking,easy,parking,0.5152
easy,parking,convenient,parking,0.5152
convenient,parking,safe,parking,0.5152
safe,parking,convenient,parking,0.5152
safe,hotel,convenient,place,0.5122
convenient,price,cheap,room,0.5049
convenient,public transportation,easy,access to public transportation,0.5333
easy,access to public transportation,convenient,public transportation,0.5333
convenient,starbucks,nice,starbucks,0.5789
nice,starbucks,convenient,starbucks,0.5789
convenient for,location,convenient to,public transportation,0.5
convenient to,public transportation,convenient for,location,0.5
convenient to,bart,convenient,bart,1.0
convenient,bart,convenient to,bart,1.0
courteous,hotel staff,convenient to,cable car,0.5608
convenient to,everything,close to,everything,1.0
close to,everything,convenient to,everything,1.0
easy,access to everything,convenient to,everything,0.5152
convenient to,hotel,conveniently locate,hotel,0.5312
conveniently locate,hotel,convenient to,hotel,0.5312
convenient to,location,convenient,location,0.5161
convenient to,shopping,walk distance,shopping,0.5102
convenient to,union square,great,location near union square,1.0
great,location near union square,convenient to,union square,1.0
convenient to,union square,close to,union square,1.0
close to,union square,convenient to,union square,1.0
2 block from,union square,convenient to,union square,1.0
cool,bar,great,bar,1.0
great,bar,cool,bar,1.0
cool,bar,lovely,bar,1.0
lovely,bar,cool,bar,1.0
cool,hotel,interesting,hotel,1.0
interesting,hotel,cool,hotel,1.0
cool,place,great,place,1.0
great,place,cool,place,1.0
cool,room,unique,room,0.5172
unique,room,cool,room,0.5172
cosy,room,cozy,room,1.0
cozy,room,cosy,room,1.0
courteous,hotel staff,great,hotel,1.0
courteous,service,professional,service,1.0
professional,service,courteous,service,1.0
courteous,staff,professional,staff,1.0
professional,staff,courteous,staff,1.0
cozy,hotel,cute,place,0.5367
cute,place,cozy,hotel,0.5367
cozy,hotel,cozy,room,0.5161
cozy,room,cozy,hotel,0.5161
cozy,room,cozy,hotel,0.5312
cozy,hotel,cozy,room,0.5312
cozy,room,cosy,room,1.0
cosy,room,cozy,room,1.0
cramped,bathroom,small,bathroom,1.0
small,bathroom,cramped,bathroom,1.0
cramped,bathroom,bit small,bathroom,0.5312
bit small,bathroom,cramped,bathroom,0.5312
cramped,room,small,hotel room,1.0
small,hotel room,cramped,room,1.0
cramped,room,much small,room,1.0
much small,room,cramped,room,1.0
cramped,room,tight,room,1.0
tight,room,cramped,room,1.0
cute,decor,nicely decorate,room,1.0
nicely decorate,room,cute,decor,1.0
cute,hotel,cute,room,0.5018
cute,hotel,cute,place,0.5484
cute,place,cute,hotel,0.5484
cute,place,cute,room,0.5312
cute,place,cute,hotel,0.5312
cute,hotel,cute,place,0.5312
cozy,hotel,cute,place,0.5152
cute,room,cute,hotel,1.0
cute,room,cute,place,0.5152
cute,place,cute,room,0.5152
nice,decoration,cute,room,0.5312
dangerous,area,seedy,area,1.0
seedy,area,dangerous,area,1.0
dangerous,area,not nice,area,0.5152
not nice,area,dangerous,area,0.5152
dark,room,dim,lighting,0.5
dim,lighting,dark,room,0.5
poor,lighting,dark,room,1.0
date,bathroom,dated,bathroom,1.0
dated,bathroom,date,bathroom,1.0
date,room,bit dated,room,1.0
bit dated,room,date,room,1.0
dated,bathroom,outdated,bathroom,1.0
outdated,bathroom,dated,bathroom,1.0
dated,room,date,room,1.0
date,room,dated,room,1.0
decent,breakfast,great,continental breakfast,0.5172
great,continental breakfast,decent,breakfast,0.5172
decent,breakfast,nice,breakfast,1.0
nice,breakfast,decent,breakfast,1.0
decent,coffee,plenty of,food,0.5312
plenty of,food,decent,coffee,0.5312
decent,food,good,food,0.5152
good,food,decent,food,0.5152
decent,food,good,dining,0.5312
decent,location,not bad,location,1.0
not bad,location,decent,location,1.0
decent,place,decent,room,1.0
decent,room,decent,place,1.0
decent,restaurant,recommend,hotel,0.5484
decent,room,decent,place,1.0
decent,place,decent,room,1.0
decent,service,quick,service,0.5152
quick,service,decent,service,0.5152
decent sized,room,decent size,room,1.0
decent size,room,decent sized,room,1.0
decorate,room,nicely decorate,room,1.0
nicely decorate,room,decorate,room,1.0
delicious,breakfast,wonderful,breakfast,1.0
wonderful,breakfast,delicious,breakfast,1.0
delicious,breakfast,lovely,breakfast,1.0
lovely,breakfast,delicious,breakfast,1.0
delicious,food,wonderful,food,1.0
wonderful,food,delicious,food,1.0
delicious,food,amazing,food,1.0
amazing,food,delicious,food,1.0
delicious,restaurant,good,restaurant,1.0
